News,target,image-path
Video shows that certain drinks can “test positive” for COVID-19 when using at-home COVID-19 tests.,FALSE,Pg 1__1_60712dd940da457d5af7e6409b784d19.jpg
"The 2020 election could not have been fair because “Los Angeles County agreed, during litigation, that there were 1.2 million ineligible voters after the election.”",FALSE,Pg 1__2_3e709304e3ba6a1dae0aabc3c94c82a0.jpg
“Tammy Baldwin wants to take away” Medicare and Social Security.,FALSE,Pg 1__10_2ef4c55b3bec220f9dc6f4c497c33dac.jpeg
“Breaking: John Fetterman RESIGNATION Announcement.”,FALSE,Pg 1__11_a7ba9df9827cc40852c5a6007902f16c.jpg
Says Ukrainian President Volodymyr Zelenskyy said he wants America’s “sons and daughters to go die in Ukraine.”,FALSE,Pg 1__12_44ae2bf80dd527ca8c1c5a1f45d7e114.jpg
"In Ohio, “there are 75,000 acres of farmland, fertile farmland, that are all now being poured down with acid rain.”",FALSE,Pg 1__13_e7de94bfce3bd5bee6cc2e6ba27085db.jpg
“Muslims by the millions are converting to Christianity.”,FALSE,Pg 1__14_1ed8596754f998fb0d584f2106f00ec2.jpeg
"Digital IDs were given to residents in East Palestine, Ohio, “to track long term health problems like difficulty breathing” before the Feb. 3 train derailment.",FALSE,Pg 1__15_198a37646fee04256b2d0f9c093889a0.jpg
"The Justice Department has been “calling parents that are concerned about what their kids are being taught, they are labeling them terrorists.”",FALSE,Pg 1__16_f81ab197aa66da38fe5f527a17c3f52c.jpg
"Kid Rock tweeted, “Some people wouldn’t recognize tyranny if it slapped a mask on their face, made them stand 6 feet apart, and forced them to take a vaccine for a virus with a 99.8% survival rate.”",FALSE,Pg 1__23_cef31ddd10382c2378d1be6f9120628d.jpeg
53% of Americans made aware of the Hunter Biden laptop story would have changed their vote in 2020.,FALSE,Pg 1__26_1a82ad827d51f6989c56718845b82431.jpeg
Apple will pay customers $700 for a slowed-down iPhone.,FALSE,Pg 1__28_aeb482bad4921dd1f002be90686d1b01.jpg
"In Australia, a “17% increase in heart attack deaths” in the first eight months of 2022 is linked to COVID-19 vaccination.",FALSE,Pg 1__30_a6c5d5e657635c248750da3bb32123b7.jpg
Student ID cards are a “source of fraud” at the polls.,FALSE,Pg 2__3_d9ea2ca3d021a773d207dfdae9219367.jpg
